Problem name,Compound.txt,D31.txt,Flame.txt,Glass.txt,Iris.txt
K-means,0.3216219136956375,0.5805731886123259,0.1700662042983252,0.16697809721937504,0.3742561621677772
Average Linkage,0.8029649973048826,0.926041867517886,0.35697144499416433,0.000345613001994746,0.537807593632331
Single Linkage,0.5010620619617797,0.91669626483678,0.288937646689094,0.14394530636537067,0.5473439141421311
Complete Linkage,0.720521315847884,0.8726873522579645,0.288937646689094,0.027053497060934344,0.5426671547586961
